city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
抚州,临川区,136㎡,低层（共6层）,临川一中旁的农村大世界,63万,江西,3室2厅,南北向,4632元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201768.htm
抚州,临川区,136㎡,低层（共6层）,临川一中旁的农村大世界,63万,江西,3室2厅,南北向,4632元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201768.htm
抚州,南城县,76㎡,高层（共2层）,盱江小学旁有天有地的房子,50万,江西,3室2厅,南向,6579元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201845.htm
抚州,南城县,76㎡,高层（共2层）,盱江小学旁有天有地的房子,50万,江西,3室2厅,南向,6579元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201845.htm
晋中,汇通路,84㎡,中层（共6层）,南苑新区,33万,山西,2室1厅,南北向,3929元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201957.htm
晋中,汇通路,84㎡,中层（共6层）,南苑新区,33万,山西,2室1厅,南北向,3929元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201957.htm
晋中,箕城路,114.56㎡,高层（共27层）,鑫港湾,37万,山西,3室2厅,南北向,3230元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201961.htm
晋中,箕城路,114.56㎡,高层（共27层）,鑫港湾,37万,山西,3室2厅,南北向,3230元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201961.htm
晋中,箕城路,114.26㎡,高层（共27层）,鑫港湾,46万,山西,3室2厅,南北向,4026元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201962.htm
晋中,箕城路,114.26㎡,高层（共27层）,鑫港湾,46万,山西,3室2厅,南北向,4026元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201962.htm
晋中,二中学区,130.2㎡,高层（共7层）,佳兴小区,85万,山西,3室2厅,南北向,6528元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201960.htm
晋中,二中学区,130.2㎡,高层（共7层）,佳兴小区,85万,山西,3室2厅,南北向,6528元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201960.htm
晋中,汇通路-思凤街中段,260㎡,高层（共2层）,南苑新区,135万,山西,4室3厅,南向,5192元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201963.htm
晋中,汇通路-思凤街中段,260㎡,高层（共2层）,南苑新区,135万,山西,4室3厅,南向,5192元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201963.htm
晋中,文教城,55㎡,高层（共12层）,一品美城,24万,山西,1室1厅,南向,4364元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201959.htm
晋中,文教城,55㎡,高层（共12层）,一品美城,24万,山西,1室1厅,南向,4364元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201959.htm
抚州,东乡县,134.1㎡,低层（共12层）,景泰凤凰城,94万,江西,3室2厅,南北向,7010元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201846.htm
抚州,东乡县,134.1㎡,低层（共12层）,景泰凤凰城,94万,江西,3室2厅,南北向,7010元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201846.htm
抚州,东乡县,61㎡,高层（共32层）,新龙花苑,40万,江西,1室1厅,南北向,6557元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201848.htm
抚州,东乡县,61㎡,高层（共32层）,新龙花苑,40万,江西,1室1厅,南北向,6557元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201848.htm
